state,year,people
A & N ISLANDS,2001,658
A & N ISLANDS,2002,608
A & N ISLANDS,2003,644
A & N ISLANDS,2004,748
A & N ISLANDS,2005,682
A & N ISLANDS,2006,676
A & N ISLANDS,2007,807
A & N ISLANDS,2008,882
A & N ISLANDS,2009,941
A & N ISLANDS,2010,980
A & N ISLANDS,2011,793
A & N ISLANDS,2012,683
ANDHRA PRADESH,2001,130089
ANDHRA PRADESH,2002,143610
ANDHRA PRADESH,2003,156951
ANDHRA PRADESH,2004,158756
ANDHRA PRADESH,2005,157123
ANDHRA PRADESH,2006,173909
ANDHRA PRADESH,2007,175087
ANDHRA PRADESH,2008,179275
ANDHRA PRADESH,2009,180441
ANDHRA PRADESH,2010,181438
ANDHRA PRADESH,2011,189780
ANDHRA PRADESH,2012,192522
ARUNACHAL PRADESH,2001,2342
ARUNACHAL PRADESH,2002,2228
ARUNACHAL PRADESH,2003,2061
ARUNACHAL PRADESH,2004,2256
ARUNACHAL PRADESH,2005,2304
ARUNACHAL PRADESH,2006,2294
ARUNACHAL PRADESH,2007,2286
ARUNACHAL PRADESH,2008,2374
ARUNACHAL PRADESH,2009,2362
ARUNACHAL PRADESH,2010,2439
ARUNACHAL PRADESH,2011,2286
ARUNACHAL PRADESH,2012,2420
ASSAM,2001,36877
ASSAM,2002,36346
ASSAM,2003,38195
ASSAM,2004,40675
ASSAM,2005,42006
ASSAM,2006,43673
ASSAM,2007,45282
ASSAM,2008,53333
ASSAM,2009,55313
ASSAM,2010,61668
ASSAM,2011,66714
ASSAM,2012,77682
BIHAR,2001,88432
BIHAR,2002,94040
BIHAR,2003,92263
BIHAR,2004,108060
BIHAR,2005,97850
BIHAR,2006,100665
BIHAR,2007,109420
BIHAR,2008,122669
BIHAR,2009,122931
BIHAR,2010,127453
BIHAR,2011,135896
BIHAR,2012,146614
CHANDIGARH,2001,3397
CHANDIGARH,2002,3806
CHANDIGARH,2003,2806
CHANDIGARH,2004,2889
CHANDIGARH,2005,3133
CHANDIGARH,2006,3126
CHANDIGARH,2007,3643
CHANDIGARH,2008,3931
CHANDIGARH,2009,3555
CHANDIGARH,2010,3373
CHANDIGARH,2011,3542
CHANDIGARH,2012,3606
CHHATTISGARH,2001,38460
CHHATTISGARH,2002,37950
CHHATTISGARH,2003,38449
CHHATTISGARH,2004,41927
CHHATTISGARH,2005,43633
CHHATTISGARH,2006,45177
CHHATTISGARH,2007,45845
CHHATTISGARH,2008,51442
CHHATTISGARH,2009,51370
CHHATTISGARH,2010,54958
CHHATTISGARH,2011,57218
CHHATTISGARH,2012,54598
D & N HAVELI,2001,350
D & N HAVELI,2002,349
D & N HAVELI,2003,338
D & N HAVELI,2004,409
D & N HAVELI,2005,434
D & N HAVELI,2006,435
