state,year,people_in_prison,crimes_reported
HIMACHAL PRADESH,2002,897,12243
HIMACHAL PRADESH,2009,1554,13315
HIMACHAL PRADESH,2003,978,12011
HIMACHAL PRADESH,2013,1999,0
HIMACHAL PRADESH,2010,1585,13049
HIMACHAL PRADESH,2005,1168,12345
HIMACHAL PRADESH,2004,1044,12326
HIMACHAL PRADESH,2001,907,11499
HIMACHAL PRADESH,2006,1336,13093
HIMACHAL PRADESH,2008,1468,13976
HIMACHAL PRADESH,2007,1435,14222
HIMACHAL PRADESH,2012,1716,12557
HIMACHAL PRADESH,2011,1607,14312
ASSAM,2002,7067,36346
ASSAM,2009,8160,55313
ASSAM,2003,7637,38195
ASSAM,2013,8263,0
ASSAM,2010,7922,61668
ASSAM,2005,8513,42006
ASSAM,2004,7828,40675
ASSAM,2001,6485,36877
ASSAM,2006,8538,43673
ASSAM,2008,8742,53333
ASSAM,2007,8705,45282
ASSAM,2012,8271,77682
ASSAM,2011,8203,66714
KARNATAKA,2002,10412,113699
KARNATAKA,2009,13241,134042
KARNATAKA,2003,10902,112405
KARNATAKA,2013,14118,0
KARNATAKA,2010,12889,142322
KARNATAKA,2005,12227,117580
KARNATAKA,2004,11542,114440
KARNATAKA,2001,9746,109098
KARNATAKA,2006,12700,117710
KARNATAKA,2008,13538,127540
KARNATAKA,2007,13052,120606
KARNATAKA,2012,13137,134021
KARNATAKA,2011,12666,137600
TRIPURA,2002,1041,3075
TRIPURA,2009,988,5486
TRIPURA,2003,1401,3514
TRIPURA,2013,901,0
TRIPURA,2010,951,5805
TRIPURA,2005,1410,3356
TRIPURA,2004,1265,3081
TRIPURA,2001,1040,2801
TRIPURA,2006,1370,3940
TRIPURA,2008,1278,5336
TRIPURA,2007,1317,4273
TRIPURA,2012,901,6264
TRIPURA,2011,899,5803
HARYANA,2002,11358,40152
HARYANA,2009,13837,56229
HARYANA,2003,12099,38612
HARYANA,2013,17644,0
HARYANA,2010,14219,59120
HARYANA,2005,12547,42664
HARYANA,2004,12010,39096
HARYANA,2001,11348,38759
HARYANA,2006,12687,50509
HARYANA,2008,14049,55344
HARYANA,2007,13093,51597
HARYANA,2012,16952,62480
HARYANA,2011,15033,60741
CHHATTISGARH,2002,10006,37950
CHHATTISGARH,2009,12142,51370
CHHATTISGARH,2003,8861,38449
CHHATTISGARH,2010,12915,54958
CHHATTISGARH,2005,9821,43633
CHHATTISGARH,2004,8873,41927
CHHATTISGARH,2001,9667,38460
CHHATTISGARH,2006,10359,45177
CHHATTISGARH,2008,11230,51442
CHHATTISGARH,2007,10451,45845
CHHATTISGARH,2012,14780,54598
CHHATTISGARH,2011,13918,57218
PUDUCHERRY,2002,0,4437
PUDUCHERRY,2009,0,4591
PUDUCHERRY,2003,0,4517
PUDUCHERRY,2010,0,3935
PUDUCHERRY,2005,0,4575
PUDUCHERRY,2004,0,4620
PUDUCHERRY,2001,0,4068
PUDUCHERRY,2006,0,4687
PUDUCHERRY,2008,0,4989
PUDUCHERRY,2007,0,5054
PUDUCHERRY,2012,0,4281
PUDUCHERRY,2011,0,4362
GUJARAT,2002,10247,106675
GUJARAT,2009,11942,115183
GUJARAT,2003,10226,103709
GUJARAT,2013,12058,0
GUJARAT,2010,11528,116439
GUJARAT,2005,11216,113414
GUJARAT,2004,11570,105469
GUJARAT,2001,8923,103419
GUJARAT,2006,11793,120972
GUJARAT,2008,12279,123808
GUJARAT,2007,11842,123195
GUJARAT,2012,11585,130121
GUJARAT,2011,11601,123371
ANDHRA PRADESH,2002,13423,143610
ANDHRA PRADESH,2009,12808,180441
ANDHRA PRADESH,2003,14084,156951
ANDHRA PRADESH,2013,14313,0
ANDHRA PRADESH,2010,12490,181438
ANDHRA PRADESH,2005,14613,157123
ANDHRA PRADESH,2004,13881,158756
ANDHRA PRADESH,2001,13090,130089
ANDHRA PRADESH,2006,15421,173909
ANDHRA PRADESH,2008,14080,179275
ANDHRA PRADESH,2007,15045,175087
ANDHRA PRADESH,2012,13285,192522
ANDHRA PRADESH,2011,13213,189780
BIHAR,2002,37300,94040
BIHAR,2009,33711,122931
BIHAR,2003,37323,92263
BIHAR,2013,31259,0
BIHAR,2010,29700,127453
BIHAR,2005,45818,97850
BIHAR,2004,33073,108060
BIHAR,2001,35907,88432
BIHAR,2006,44281,100665
BIHAR,2008,37709,122669
BIHAR,2007,39638,109420
BIHAR,2012,28550,146614
BIHAR,2011,28032,135896
NAGALAND,2002,631,1114
NAGALAND,2009,623,1059
NAGALAND,2003,568,976
NAGALAND,2013,487,0
NAGALAND,2010,521,1059
NAGALAND,2005,625,1049
NAGALAND,2004,589,984
NAGALAND,2001,665,1234
NAGALAND,2006,674,1103
NAGALAND,2008,619,1202
NAGALAND,2007,501,1180
NAGALAND,2012,398,1090
NAGALAND,2011,502,1083
ODISHA,2002,0,47728
ODISHA,2009,0,55740
ODISHA,2003,0,47281
ODISHA,2010,0,56459
ODISHA,2005,0,51685
ODISHA,2004,0,48739
ODISHA,2001,0,46661
ODISHA,2006,0,52792
ODISHA,2008,0,56755
ODISHA,2007,0,54872
ODISHA,2012,0,67957
ODISHA,2011,0,61277
MIZORAM,2002,858,2820
MIZORAM,2009,765,2047
MIZORAM,2003,837,3456
MIZORAM,2013,870,0
MIZORAM,2010,992,2174
MIZORAM,2005,713,2156
MIZORAM,2004,959,1515
MIZORAM,2001,858,2246
MIZORAM,2006,729,2073
MIZORAM,2008,790,1989
MIZORAM,2007,941,2083
MIZORAM,2012,847,1766
MIZORAM,2011,881,1821
UTTARAKHAND,2002,0,7976
UTTARAKHAND,2009,0,8802
UTTARAKHAND,2003,0,7923
UTTARAKHAND,2010,0,9240
UTTARAKHAND,2005,0,8033
UTTARAKHAND,2004,0,8634
UTTARAKHAND,2001,0,8073
UTTARAKHAND,2006,0,8412
UTTARAKHAND,2008,0,8856
UTTARAKHAND,2007,0,9599
UTTARAKHAND,2012,0,8882
UTTARAKHAND,2011,0,8774
D & N HAVELI,2002,160,349
D & N HAVELI,2009,56,442
D & N HAVELI,2003,172,338
D & N HAVELI,2013,35,0
D & N HAVELI,2010,42,378
D & N HAVELI,2005,29,434
D & N HAVELI,2004,33,409
D & N HAVELI,2001,166,350
D & N HAVELI,2006,33,435
D & N HAVELI,2008,46,401
D & N HAVELI,2007,28,425
D & N HAVELI,2012,37,318
D & N HAVELI,2011,25,372
KERALA,2002,5188,104200
KERALA,2009,6971,118369
KERALA,2003,6464,98824
KERALA,2013,7395,0
KERALA,2010,6692,148313
KERALA,2005,6863,104350
KERALA,2004,7194,104025
KERALA,2001,5376,103847
KERALA,2006,6504,105255
KERALA,2008,6732,110620
KERALA,2007,6742,108530
KERALA,2012,6947,158989
KERALA,2011,6229,172137
GOA,2002,352,2440
GOA,2009,432,3005
GOA,2003,532,2244
GOA,2013,523,0
GOA,2010,456,3293
GOA,2005,384,2119
GOA,2004,427,2127
GOA,2001,452,2341
GOA,2006,380,2204
GOA,2008,403,2742
GOA,2007,366,2479
GOA,2012,472,3608
GOA,2011,489,3449
PONDICHERRY,2002,246,0
PONDICHERRY,2009,269,0
PONDICHERRY,2003,278,0
PONDICHERRY,2013,280,0
PONDICHERRY,2010,261,0
PONDICHERRY,2005,288,0
PONDICHERRY,2004,301,0
PONDICHERRY,2001,262,0
PONDICHERRY,2006,312,0
PONDICHERRY,2008,300,0
PONDICHERRY,2007,346,0
PONDICHERRY,2012,285,0
PONDICHERRY,2011,242,0
PUNJAB,2002,12109,28794
PUNJAB,2009,17854,35545
PUNJAB,2003,13232,28756
PUNJAB,2013,27449,0
PUNJAB,2010,17644,36648
PUNJAB,2005,14678,27136
PUNJAB,2004,15064,25630
PUNJAB,2001,12054,27774
PUNJAB,2006,15115,32068
PUNJAB,2008,16115,35314
PUNJAB,2007,15972,35793
PUNJAB,2012,23219,35790
PUNJAB,2011,17821,34883
MANIPUR,2002,516,2584
MANIPUR,2009,532,2852
MANIPUR,2003,532,2537
MANIPUR,2013,660,0
MANIPUR,2010,618,2715
MANIPUR,2005,529,2913
MANIPUR,2004,465,2535
MANIPUR,2001,462,2489
MANIPUR,2006,398,2884
